fecha,ingreso_base,complemento_bono,garantizado_meta,pedidos_fisicos,unidades_progreso,gastos_operativos
2025-12-05,66676,63324,130000,12,11,17000
2025-12-06,86990,101010,188000,15,15,17000
2025-12-07,94980,134020,229000,17,14,18000
2025-12-08,87390,121610,209000,17,17,21000
2025-12-13,72264,70736,143000,11,10,58000
2025-12-14,113138,137862,251000,18,18,19000
2025-12-20,137686,125314,263000,20,18,16000
2025-12-21,137538,130462,268000,18,18,21500
2025-12-23,42654,30346,73000,8,6,16000
2025-12-24,67362,64638,132000,10,8,0
2025-12-25,133056,168944,302000,21,12,14000
2025-12-27,84076,100924,185000,15,9,19000
2025-12-28,102150,180850,283000,18,13,15000
2025-12-31,59162,65838,125000,13,10,0
2026-01-01,112975,70025,183000,17,12,0
2026-01-04,72888,41112,114000,15,8,18000
2026-01-08,16921,14079,31000,3,3,0
2026-01-10,84425,62575,147000,12,12,17000
2026-01-11,134896,109104,244000,18,18,0
2026-01-12,57136,46864,104000,9,7,20000
2026-01-17,80157,38843,119000,11,10,16000
2026-01-18,120293,86207,206500,19,17,21000
2026-01-24,44244,3256,47500,6,3,18000
2026-01-25,119277,50223,169500,16,15,0
